,short_name,age,nationality,club_name,overall,potential,value_eur,wage_eur,player_positions,release_clause_eur,team_position,contract_valid_until,pace,shooting,passing,dribbling,defending,Forward,Mid,Back,GK
5893,R. Renner,26,Austria,LASK Linz,69,70,1200000,13000,"LM, LB",1900000.0,LM,2022.0,80.0,61.0,64.0,68.0,62.0,66.72727272727273,68.2,67.2,10.0
5894,P. Schobesberger,26,Austria,SK Rapid Wien,69,70,1200000,14000,"LM, CAM, ST",1900000.0,SUB,2022.0,90.0,62.0,64.0,69.0,44.0,67.9090909090909,67.0,58.6,13.6
5895,V. Vasić,30,Serbia,Royal Excel Mouscron,69,70,825000,4000,GK,1300000.0,SUB,2021.0,36.25,38.25,26.75,32.0,21.0,33.72727272727273,35.2,31.6,68.6
5896,Miguel Cardoso,26,Portugal,Os Belenenses,69,70,1200000,4000,"LW, RW",2600000.0,RW,2025.0,74.0,61.0,65.0,72.0,39.0,68.18181818181819,67.0,53.1,8.2
5897,M. Hawsawi,28,Saudi Arabia,Al Ahli,69,70,1000000,16000,CB,1800000.0,LCB,2022.0,60.0,45.0,44.0,53.0,71.0,51.90909090909091,53.2,65.6,10.8
5898,J. Tagueu,26,Cameroon,Clube Sport Marítimo,69,70,1300000,6000,ST,2800000.0,LS,2022.0,69.0,66.0,57.0,70.0,28.0,67.81818181818181,63.8,47.8,13.0
5899,S. Davis,27,United States,New York Red Bulls,69,70,1200000,4000,"CM, CDM, CAM",1900000.0,RCM,2021.0,70.0,59.0,70.0,70.0,66.0,67.81818181818181,70.0,69.7,9.4
5900,H. Pehlivan,26,Turkey,Gençlerbirliği SK,69,70,1100000,8000,LB,2300000.0,LB,2021.0,71.0,50.0,57.0,66.0,66.0,60.90909090909091,63.2,67.8,8.8
5902,R. Arias,27,Uruguay,San Lorenzo de Almagro,69,70,1100000,9000,CB,1700000.0,SUB,2022.0,50.0,27.0,41.0,53.0,70.0,45.45454545454545,50.0,64.9,11.2
5903,D. Melnjak,27,Croatia,Çaykur Rizespor,69,70,1000000,7000,LB,2100000.0,LB,2022.0,69.0,52.0,63.0,68.0,64.0,64.72727272727273,67.4,67.8,9.2
5905,M. Wanitzek,27,Germany,Karlsruher SC,69,70,1200000,7000,CM,2000000.0,LCM,2024.0,73.0,59.0,72.0,71.0,53.0,67.18181818181819,70.0,64.5,11.6
5906,C. Dájome,26,Colombia,Vancouver Whitecaps FC,69,70,1200000,4000,"LM, RM, RW",1800000.0,SUB,2021.0,78.0,59.0,63.0,68.0,28.0,66.63636363636364,65.2,47.8,10.4
5907,U. Nayir,27,Turkey,Beşiktaş JK,69,70,1200000,28000,ST,2500000.0,RES,2022.0,60.0,69.0,45.0,64.0,23.0,65.27272727272727,57.2,43.4,10.6
5908,Lucas Fernandes,26,Brazil,Hokkaido Consadole Sapporo,69,70,1200000,4000,RM,1600000.0,RM,2021.0,83.0,62.0,61.0,72.0,34.0,68.45454545454545,65.2,48.9,11.0
5910,N. Dovedan,25,Austria,1. FC Nürnberg,69,70,1200000,6000,"RM, CF, CAM",2000000.0,RAM,2022.0,80.0,66.0,61.0,75.0,34.0,69.45454545454545,65.8,51.1,12.8
5911,S. Eduok,26,Nigeria,Atiker Konyaspor,69,70,1200000,9000,"RM, LM",2500000.0,SUB,2022.0,77.0,69.0,63.0,72.0,30.0,69.0,65.8,50.5,12.0
5912,Renê Santos,28,Brazil,Clube Sport Marítimo,69,70,1000000,5000,"CB, CDM",2200000.0,LCB,2021.0,55.0,43.0,51.0,58.0,68.0,55.18181818181818,59.4,67.9,11.4
5913,Y. Njie,26,Gambia,Boavista FC,69,70,1300000,5000,ST,2800000.0,SUB,2021.0,76.0,66.0,55.0,70.0,39.0,68.36363636363636,64.4,54.2,8.2
5914,A. Czerwiński,27,Poland,Lech Poznań,69,70,1000000,5000,"RB, RM",1400000.0,RB,2023.0,79.0,43.0,62.0,65.0,63.0,62.36363636363637,65.6,67.1,11.0
5915,J. Arias,27,Uruguay,Club Atlético Talleres,69,70,1200000,8000,ST,1900000.0,SUB,2022.0,61.0,70.0,53.0,67.0,27.0,67.27272727272727,62.6,47.0,11.4
5916,D. Kolovetsios,28,Greece,Kayserispor,69,70,1000000,7000,CB,2100000.0,SUB,2022.0,65.0,33.0,51.0,51.0,72.0,50.45454545454545,56.4,67.8,11.6
5917,G. Robail,26,France,Racing Club de Lens,69,70,1200000,17000,"LM, LW",2500000.0,SUB,2023.0,71.0,64.0,71.0,71.0,46.0,68.0,68.8,59.2,11.6
5918,F. Makaringe,27,South Africa,Orlando Pirates,69,70,1200000,500,"CAM, CM",2700000.0,LCM,2023.0,74.0,60.0,68.0,70.0,46.0,68.27272727272727,68.8,58.8,11.8
5919,M. Zeghba,29,Algeria,Damac FC,69,70,850000,8000,GK,1500000.0,GK,2024.0,39.5,33.25,20.5,24.25,8.666666666666666,26.727272727272727,28.0,24.1,67.4
5921,M. Deletić,26,Serbia,AEK Athens,69,70,1200000,500,"RM, LM",2700000.0,SUB,2022.0,79.0,62.0,66.0,72.0,29.0,67.45454545454545,66.4,49.5,9.2
5922,S. Assís,27,Uruguay,Unión de Santa Fe,69,70,1100000,6000,CDM,1700000.0,SUB,2020.0,58.0,52.0,66.0,67.0,67.0,63.90909090909091,67.4,68.0,11.8
5923,A. Montero,26,Venezuela,Coquimbo Unido,69,70,1200000,2000,RM,1700000.0,RES,2024.0,70.0,65.0,66.0,71.0,25.0,68.27272727272727,67.6,48.3,10.8
5924,B. Palacios,25,Ecuador,El Nacional,69,70,1300000,500,ST,2900000.0,RES,2023.0,89.0,63.0,52.0,69.0,31.0,67.81818181818181,62.6,48.3,9.4
5925,W. Routledge,35,England,Swansea City,69,69,450000,10000,"LM, RM, ST",855000.0,SUB,2021.0,65.0,64.0,66.0,73.0,40.0,67.9090909090909,67.8,54.8,11.8
5926,R. Ziegler,34,Switzerland,FC Dallas,69,69,400000,4000,"CB, LB",600000.0,LCB,2021.0,55.0,63.0,72.0,66.0,70.0,66.36363636363636,68.6,69.3,4.8
5927,M. Dawson,36,England,Nottingham Forest,69,69,210000,14000,CB,399000.0,SUB,2021.0,30.0,33.0,44.0,36.0,71.0,43.27272727272727,48.2,62.7,9.6
5929,J. Gutiérrez,36,Argentina,Club Atlético Banfield,69,69,325000,6000,"CM, RB",488000.0,LCM,2021.0,59.0,61.0,70.0,68.0,65.0,67.27272727272727,69.0,68.2,10.2
5930,F. Öztorun,33,Turkey,Atiker Konyaspor,69,69,475000,8000,LB,950000.0,SUB,2024.0,66.0,43.0,60.0,66.0,66.0,59.63636363636363,65.0,68.1,14.0
5931,Seoane,37,Spain,CD Lugo,69,69,230000,3000,"CDM, CM",357000.0,RDM,2021.0,54.0,55.0,64.0,58.0,68.0,62.18181818181818,66.0,68.0,11.2
5932,Javi Fuego,36,Spain,Real Sporting de Gijón,69,69,230000,3000,"CDM, CM",368000.0,SUB,2021.0,40.0,60.0,66.0,64.0,67.0,62.72727272727273,66.0,67.4,11.6
5933,M. Constantin,35,Romania,Universitatea Craiova,69,69,325000,4000,CB,439000.0,RCB,2021.0,50.0,51.0,54.0,54.0,69.0,54.45454545454545,56.8,66.3,12.4
5934,R. Pleșca,37,Romania,Gaz Metan Mediaş,69,69,110000,3000,GK,149000.0,SUB,2024.0,32.5,37.25,27.75,29.75,13.666666666666666,30.636363636363637,33.0,29.5,68.4
5935,Luíz Carlos,34,Brazil,FC Paços de Ferreira,69,69,400000,5000,CDM,840000.0,LCM,2021.0,55.0,58.0,64.0,63.0,68.0,62.63636363636363,66.4,68.6,11.8
5936,A. Rosati,37,Italy,Torino,69,69,110000,9000,GK,187000.0,SUB,2021.0,33.75,26.75,19.5,35.0,10.333333333333334,25.181818181818183,28.2,25.2,64.2
5937,B. Johnson,33,England,Blackburn Rovers,69,69,500000,18000,"CDM, CM",950000.0,CDM,2021.0,49.0,68.0,64.0,65.0,68.0,65.72727272727273,66.8,68.5,10.0
5938,V. Găman,31,Romania,Astra Giurgiu,69,69,775000,5000,CB,1000000.0,SUB,2022.0,51.0,50.0,57.0,55.0,71.0,58.0,61.0,67.6,10.6
5939,C. Săpunaru,36,Romania,Kayserispor,69,69,210000,5000,"CB, CDM",420000.0,LCB,2021.0,54.0,67.0,64.0,66.0,68.0,67.0,67.8,68.2,11.4
5940,I. Vázquez,37,Mexico,FC Juárez,69,69,110000,3000,GK,187000.0,GK,2020.0,37.0,39.0,28.75,44.75,12.666666666666666,31.363636363636363,33.0,30.0,68.6
5941,E. Velarde,34,Mexico,Mazatlán FC,69,69,375000,6000,LB,638000.0,LB,2021.0,67.0,58.0,66.0,63.0,67.0,63.27272727272727,66.0,68.4,10.0
5942,M. Stoppelkamp,33,Germany,MSV Duisburg,69,69,650000,2000,"RM, CAM, LM",943000.0,RM,2021.0,67.0,67.0,64.0,71.0,50.0,68.54545454545455,67.8,61.2,12.4
5943,L. Ciman,34,Belgium,Toronto FC,69,69,400000,4000,CB,600000.0,SUB,2020.0,51.0,57.0,68.0,62.0,69.0,62.0,66.0,68.2,12.0
5944,Q. Westberg,34,United States,Toronto FC,69,69,450000,3000,GK,675000.0,GK,2022.0,44.75,34.5,18.0,35.25,13.666666666666666,25.0,26.6,26.6,67.4
5945,K. Reichel,33,Germany,VfL Osnabrück,69,69,475000,6000,LB,736000.0,LWB,2021.0,64.0,67.0,65.0,64.0,68.0,66.0909090909091,67.0,69.0,9.4
5946,M. Silvestre,35,Argentina,Royal Excel Mouscron,69,69,325000,4000,CB,471000.0,SUB,2022.0,44.0,42.0,54.0,55.0,69.0,52.54545454545455,56.2,64.9,3.8
5947,J. Olivera,38,Uruguay,River Plate Montevideo,69,69,375000,500,ST,806000.0,LS,2021.0,54.0,71.0,60.0,65.0,39.0,67.27272727272727,62.4,50.2,13.4
5948,A. Baumjohann,33,Germany,Sydney FC,69,69,650000,5000,"CAM, RM",813000.0,RAM,2021.0,66.0,63.0,68.0,73.0,36.0,68.0,66.6,50.3,9.0
5949,R. Keogh,33,Republic of Ireland,Milton Keynes Dons,69,69,500000,5000,CB,875000.0,CB,2021.0,55.0,31.0,59.0,59.0,69.0,54.63636363636363,61.2,68.0,12.6
5950,J. Hayes,32,Republic of Ireland,Aberdeen,69,69,825000,5000,"LM, LB, LWB",1400000.0,LWB,2022.0,78.0,60.0,66.0,73.0,65.0,66.9090909090909,67.8,68.4,10.6
5952,N. Onuoha,33,England,Real Salt Lake,69,69,500000,4000,CB,725000.0,LCB,2025.0,71.0,33.0,54.0,53.0,67.0,52.0,56.4,66.4,11.6
5953,C. Obasi,34,Nigeria,SCR Altach,69,69,550000,8000,"ST, RW, LW",798000.0,RS,2021.0,68.0,68.0,64.0,70.0,42.0,68.54545454545455,66.6,56.0,10.6
5954,Park Chu Young,34,Korea Republic,FC Seoul,69,69,550000,6000,"ST, RW",688000.0,ST,2021.0,61.0,70.0,72.0,71.0,37.0,69.81818181818181,67.8,53.0,9.0
5955,J. Sorbon,36,France,En Avant de Guingamp,69,69,210000,3000,CB,378000.0,RCB,2021.0,31.0,31.0,56.0,45.0,70.0,47.18181818181818,53.2,65.1,11.0
5956,A. Rodríguez,36,Peru,Alianza Lima,69,69,210000,500,CB,452000.0,RCB,2020.0,53.0,38.0,49.0,57.0,71.0,52.81818181818182,54.8,63.6,11.8
5957,J. Peters,33,Netherlands,Willem II,69,69,500000,5000,CB,750000.0,LCB,2021.0,46.0,39.0,57.0,55.0,70.0,53.63636363636363,60.0,68.0,12.0
5958,F. Fielding,32,England,Millwall,69,69,650000,6000,GK,1200000.0,SUB,2021.0,39.0,32.75,23.25,30.25,15.666666666666666,28.454545454545453,30.2,29.5,66.8
5959,L. Peltier,33,England,West Bromwich Albion,69,69,475000,30000,RB,950000.0,RES,2021.0,58.0,38.0,59.0,61.0,72.0,57.0,62.6,69.1,10.2
5960,L. Bridcutt,31,Scotland,Lincoln City,69,69,800000,6000,"CDM, CM",1400000.0,CDM,2021.0,67.0,46.0,63.0,67.0,69.0,60.27272727272727,65.0,69.0,12.4
5961,U. Emanuelson,34,Netherlands,FC Utrecht,69,69,500000,8000,"CM, CDM, CB",750000.0,SUB,2021.0,73.0,64.0,71.0,73.0,65.0,68.63636363636364,69.4,68.6,3.8
5962,Ukra,32,Portugal,Santa Clara,69,69,825000,4000,"RW, LW",1700000.0,RW,2021.0,73.0,65.0,67.0,73.0,28.0,69.0,66.0,49.4,11.2
5963,Santamaría,35,Spain,UD Logroñés,69,69,275000,2000,GK,426000.0,GK,2021.0,45.75,35.25,13.75,33.5,16.0,27.454545454545453,25.8,27.3,67.6
5964,N. Spolli,37,Argentina,Crotone,69,69,210000,4000,CB,378000.0,SUB,2025.0,38.0,39.0,34.0,42.0,71.0,41.90909090909091,43.0,60.7,9.8
5965,David Fernández,35,Spain,AD Alcorcón,69,69,325000,3000,CB,504000.0,RCB,2021.0,53.0,44.0,60.0,59.0,71.0,56.45454545454545,62.6,68.6,11.8
5966,B. Hämäläinen,31,Denmark,Lyngby BK,69,69,750000,5000,"LB, CB",938000.0,LWB,2022.0,71.0,51.0,71.0,66.0,65.0,63.72727272727273,68.6,68.7,8.4
5967,R. Schwartz,30,Denmark,FC Midtjylland,69,69,1000000,14000,ST,1300000.0,ST,2022.0,70.0,71.0,59.0,65.0,33.0,67.36363636363636,64.0,51.6,10.6
5968,R. Leeuwin,32,Netherlands,AZ Alkmaar,69,69,675000,5000,CB,1000000.0,SUB,2021.0,51.0,43.0,58.0,51.0,68.0,53.18181818181818,59.0,66.9,8.0
5969,S. Marinos,32,Greece,Sporting de Charleroi,69,69,650000,7000,"RB, RM",975000.0,SUB,2021.0,65.0,45.0,61.0,62.0,69.0,58.0,62.6,68.8,12.2
5970,M. Scozzarella,32,Italy,Parma,69,69,800000,14000,"CM, CDM",1400000.0,SUB,2021.0,78.0,61.0,72.0,72.0,55.0,68.27272727272727,69.8,64.6,9.2
5971,D. Dessena,33,Italy,Brescia,69,69,625000,500,"CM, CDM",1400000.0,LCM,2021.0,59.0,67.0,68.0,67.0,70.0,67.63636363636364,68.6,69.3,4.0
5972,J. Meredith,32,Australia,Perth Glory,69,69,650000,4000,LWB,813000.0,LWB,2020.0,75.0,44.0,61.0,63.0,65.0,61.0,65.4,68.1,12.2
5973,M. Figueroa,37,Honduras,Houston Dynamo,69,69,210000,3000,"CB, LB",305000.0,LCB,2020.0,51.0,59.0,62.0,57.0,70.0,58.18181818181818,60.4,67.3,11.0
5974,S. Ujkani,31,Kosovo,Torino,69,69,675000,14000,GK,1100000.0,RES,2021.0,44.0,34.5,22.75,33.75,10.333333333333334,28.363636363636363,28.4,26.1,67.8
5975,K. Steppe,31,Belgium,Sint-Truidense VV,69,69,675000,5000,GK,979000.0,GK,2023.0,43.0,34.75,24.25,39.0,15.0,31.727272727272727,33.6,28.9,67.8
5976,Hélder Barbosa,33,Portugal,Hatayspor,69,69,650000,7000,"LM, RM",1300000.0,RM,2021.0,75.0,67.0,65.0,73.0,42.0,69.27272727272727,67.8,56.6,13.0
5977,Jung Sung Ryong,35,Korea Republic,Kawasaki Frontale,69,69,275000,3000,GK,358000.0,GK,2021.0,31.75,42.0,22.75,30.25,16.0,27.272727272727273,29.2,26.3,70.2
5978,Lee Keun Ho,35,Korea Republic,Ulsan Hyundai FC,69,69,475000,4000,"ST, CAM",618000.0,SUB,2023.0,80.0,66.0,65.0,70.0,38.0,69.72727272727273,68.4,56.7,11.0
5979,C. Valencia,35,Colombia,Junior FC,69,69,475000,500,ST,1000000.0,SUB,2020.0,76.0,69.0,58.0,67.0,42.0,68.0909090909091,64.4,54.8,11.0
5980,M. Bjärsmyr,34,Sweden,IFK Göteborg,69,69,400000,3000,CB,500000.0,SUB,2020.0,51.0,34.0,44.0,46.0,70.0,45.45454545454545,49.4,64.5,13.0
5981,S. Aigner,32,Germany,SV Wehen Wiesbaden,69,69,825000,5000,"RM, CAM, ST",1200000.0,RM,2021.0,71.0,64.0,67.0,70.0,44.0,68.54545454545455,67.8,58.2,11.6
5982,F. González,33,Argentina,Estudiantes de La Plata,69,69,650000,9000,ST,975000.0,RES,2021.0,69.0,67.0,65.0,72.0,39.0,69.0,68.4,56.3,10.6
5983,Bellvís,35,Spain,AD Alcorcón,69,69,300000,3000,LB,465000.0,LB,2021.0,79.0,43.0,60.0,69.0,63.0,60.09090909090909,63.6,67.5,9.4
5984,T. Derijck,33,Belgium,KV Kortrijk,69,69,500000,7000,CB,750000.0,CB,2022.0,44.0,45.0,50.0,50.0,72.0,50.81818181818182,55.8,66.4,11.0
5985,S. Sam,32,Germany,Antalyaspor,69,69,825000,9000,"RM, LM",1700000.0,SUB,2021.0,73.0,64.0,67.0,70.0,37.0,68.27272727272727,67.2,53.4,12.4
5986,G. Obertan,31,France,BB Erzurumspor,69,69,925000,7000,"RM, LM",1800000.0,SUB,2021.0,83.0,61.0,62.0,72.0,36.0,67.9090909090909,65.4,52.4,11.2
5987,A. Djoum,31,Cameroon,Al Raed,69,69,900000,9000,"CM, LM",1500000.0,LDM,2023.0,66.0,62.0,65.0,71.0,59.0,67.9090909090909,69.0,65.8,11.2
5988,R. Boffin,32,Belgium,Antalyaspor,69,69,650000,6000,GK,1300000.0,GK,2023.0,50.75,41.25,15.25,31.25,16.0,28.90909090909091,27.8,28.6,69.4
5989,L. Nguyen,33,United States,New England Revolution,69,69,625000,4000,"CM, CAM",938000.0,SUB,2021.0,67.0,68.0,72.0,73.0,48.0,70.18181818181819,69.4,59.6,10.4
5990,L. Vitale,32,Italy,Hellas Verona,69,69,825000,12000,"LM, LB",1500000.0,RES,2021.0,77.0,61.0,69.0,68.0,62.0,67.18181818181819,69.0,67.2,11.4
5991,B. Urribarri,33,Argentina,Patronato,69,69,475000,7000,LB,689000.0,LB,2021.0,76.0,47.0,66.0,65.0,61.0,61.09090909090909,65.8,66.6,10.6
5992,U. Demirok,31,Turkey,Atiker Konyaspor,69,69,775000,8000,CB,1600000.0,RCB,2022.0,38.0,43.0,55.0,55.0,71.0,53.54545454545455,59.8,66.8,8.4
5993,R. Cruzado,35,Peru,Alianza Lima,69,69,450000,500,"CM, CAM",968000.0,LDM,2020.0,63.0,64.0,68.0,63.0,51.0,66.45454545454545,68.2,62.1,9.4
5994,S. Vokes,30,Wales,Stoke City,69,69,1000000,15000,ST,1900000.0,ST,2022.0,46.0,72.0,58.0,60.0,43.0,65.81818181818181,64.0,55.8,10.4
5995,B. Capon,32,Belgium,KV Oostende,69,69,650000,6000,"RB, RWB, RM",943000.0,SUB,2021.0,69.0,63.0,66.0,66.0,67.0,66.81818181818181,68.0,68.4,13.4
5996,A. Skúlason,33,Iceland,KV Oostende,69,69,475000,6000,"LB, LWB, LM",689000.0,LB,2021.0,64.0,60.0,69.0,68.0,66.0,64.72727272727273,68.6,68.4,9.8
5997,Edgar,33,Brazil,Daegu FC,69,69,650000,5000,"ST, RW",813000.0,RS,2023.0,62.0,71.0,62.0,63.0,32.0,67.18181818181819,64.6,51.3,12.0
5998,William,33,Brazil,Deportivo Toluca,69,69,625000,10000,"CM, CDM, LM",1100000.0,SUB,2021.0,71.0,70.0,65.0,74.0,63.0,69.72727272727273,69.0,68.5,12.4
5999,T. Elphick,32,England,Huddersfield Town,69,69,675000,12000,CB,1300000.0,SUB,2021.0,34.0,37.0,52.0,54.0,70.0,48.90909090909091,53.2,64.2,11.0
6000,F. Bellugou,33,France,AJ Auxerre,69,69,500000,4000,"CDM, CM",900000.0,LDM,2021.0,33.0,44.0,65.0,64.0,68.0,57.72727272727273,64.2,67.2,9.6
6001,Huang Bowen,32,China PR,Guangzhou Evergrande Taobao FC,69,69,700000,10000,"CDM, CM",1100000.0,SUB,2021.0,66.0,63.0,70.0,63.0,65.0,66.36363636363636,68.6,68.3,9.2
6002,W. Sandilands,36,South Africa,Orlando Pirates,69,69,180000,500,GK,387000.0,GK,2020.0,47.25,35.25,16.0,38.25,15.666666666666666,27.636363636363637,26.2,28.9,69.2
6003,R. Kruse,31,Australia,Melbourne Victory,69,69,925000,5000,"LM, RM",1200000.0,SUB,2021.0,73.0,68.0,66.0,68.0,40.0,69.0,67.2,55.1,13.2
6004,B. Augustyn,32,Poland,Jagiellonia Białystok,69,69,675000,5000,CB,911000.0,LCB,2022.0,48.0,42.0,47.0,51.0,67.0,50.0,53.0,63.9,11.2
6005,Y. Benalouane,33,Tunisia,Nottingham Forest,69,69,500000,20000,CB,950000.0,RES,2021.0,46.0,39.0,55.0,52.0,68.0,51.18181818181818,54.8,65.3,13.0
6006,J. Henry,31,England,Oxford United,69,69,925000,6000,"RM, RW, CM",1600000.0,RW,2021.0,71.0,69.0,68.0,70.0,45.0,67.72727272727273,67.8,57.1,12.8
6007,J. Jacobson,33,Wales,Wycombe Wanderers,69,69,475000,7000,LB,879000.0,LB,2022.0,68.0,59.0,66.0,64.0,64.0,63.72727272727273,66.4,68.1,10.0
6008,J. van den Bergh,33,Germany,Holstein Kiel,69,69,475000,9000,LB,736000.0,LB,2021.0,68.0,40.0,62.0,63.0,67.0,58.18181818181818,62.4,68.1,10.8
6009,S. Gonther,33,Germany,FC Erzgebirge Aue,69,69,500000,5000,CB,775000.0,RCB,2021.0,49.0,33.0,45.0,41.0,71.0,44.0,48.0,63.1,8.0
6010,R. Tesche,33,Germany,VfL Bochum 1848,69,69,500000,8000,"CDM, CM",800000.0,LDM,2021.0,58.0,65.0,67.0,67.0,65.0,66.9090909090909,68.6,68.8,11.2
6011,C. Ramsebner,31,Austria,LASK Linz,69,69,775000,12000,CB,1200000.0,SUB,2022.0,34.0,38.0,36.0,45.0,70.0,43.54545454545455,45.6,62.7,9.2
6013,Ricardo Ferreira,30,Portugal,Portimonense SC,69,69,700000,3000,GK,1500000.0,SUB,2024.0,43.75,32.5,20.0,32.0,13.0,29.454545454545453,31.0,28.3,67.6
6014,K. Sigþórsson,30,Iceland,AIK,69,69,1000000,5000,ST,1300000.0,RS,2021.0,56.0,69.0,58.0,63.0,39.0,66.81818181818181,63.4,52.9,11.6
6015,M. Schönbächler,30,Switzerland,FC Zürich,69,69,1000000,8000,"LM, RM",1500000.0,LM,2021.0,75.0,60.0,64.0,72.0,36.0,67.63636363636364,66.6,51.9,13.2
6016,G. Bellusci,30,Italy,AC Monza,69,69,850000,500,CB,1900000.0,SUB,2023.0,54.0,49.0,58.0,61.0,70.0,57.0,61.6,67.4,10.4
6017,J. Bostock,28,England,Toulouse Football Club,69,69,925000,4000,"CDM, CM",1700000.0,RES,2021.0,63.0,69.0,70.0,69.0,63.0,68.54545454545455,69.0,68.5,12.8
6018,O. Şişmanoğlu,30,Germany,BB Erzurumspor,69,69,1000000,8000,"ST, CAM, RW",2000000.0,ST,2021.0,73.0,67.0,58.0,65.0,44.0,67.9090909090909,64.6,56.3,10.8
6019,J. Rhodes,30,Scotland,Sheffield Wednesday,69,69,1000000,11000,ST,1900000.0,RS,2021.0,61.0,70.0,53.0,62.0,40.0,66.0,61.6,51.3,10.6
6020,D. Petrić,32,Serbia,FC Nantes,69,69,650000,9000,GK,1300000.0,SUB,2021.0,37.75,34.25,14.0,32.25,12.666666666666666,25.636363636363637,24.8,24.4,67.2
6021,M. Sadlok,31,Poland,Wisła Kraków,69,69,750000,3000,LB,1000000.0,LB,2021.0,78.0,56.0,62.0,62.0,63.0,61.27272727272727,63.8,67.8,10.6
6022,E. Hovland,31,Norway,Rosenborg BK,69,69,775000,4000,CB,1000000.0,LCB,2021.0,56.0,25.0,47.0,44.0,68.0,45.90909090909091,53.0,65.7,9.4
6023,H. Lansbury,29,England,Aston Villa,69,69,1000000,25000,"CM, CDM",1900000.0,RES,2021.0,53.0,68.0,70.0,69.0,59.0,67.54545454545455,68.6,65.8,13.8
6024,V. Hedenstad,29,Norway,Rosenborg BK,69,69,875000,4000,"RB, LB",1100000.0,LB,2020.0,74.0,54.0,64.0,68.0,63.0,64.0,66.8,67.2,9.8
6026,F. Monzón,33,Argentina,Atlético Tucumán,69,69,475000,6000,"LB, LM",689000.0,LB,2021.0,69.0,52.0,67.0,68.0,65.0,63.18181818181818,67.0,68.4,12.2
6027,M. Vigorito,30,Italy,Lecce,69,69,700000,500,GK,1500000.0,SUB,2022.0,43.0,34.75,21.5,30.75,17.0,29.181818181818183,30.0,29.8,67.8
6028,N. McGinn,32,Northern Ireland,Aberdeen,69,69,825000,5000,"LM, RM",1400000.0,SUB,2021.0,74.0,65.0,64.0,72.0,34.0,68.72727272727273,66.0,52.0,11.8
6029,A. Jansen,31,Netherlands,FC Emmen,69,69,950000,4000,"ST, CAM",1400000.0,LAM,2021.0,61.0,69.0,71.0,70.0,45.0,68.81818181818181,69.0,58.9,11.6
6030,R. Wolf,32,Germany,Fortuna Düsseldorf,69,69,650000,9000,GK,1000000.0,SUB,2021.0,34.25,34.5,15.25,25.25,13.666666666666666,25.727272727272727,25.6,25.8,67.6
6031,M. Ponce,31,Mexico,Guadalajara,69,69,750000,19000,LB,1300000.0,SUB,2021.0,68.0,54.0,62.0,65.0,64.0,62.0,65.0,69.0,11.4
6032,M. Pektemek,31,Turkey,Alanyaspor,69,69,950000,8000,"CF, ST",1900000.0,SUB,2021.0,72.0,69.0,65.0,71.0,53.0,69.27272727272727,68.4,62.9,9.4
6033,Marc Valiente,33,Spain,Real Sporting de Gijón,69,69,500000,5000,CB,800000.0,RCB,2021.0,54.0,33.0,58.0,52.0,71.0,51.36363636363637,58.0,68.2,11.6
6034,F. Renzetti,32,Italy,Chievo Verona,69,69,650000,500,"LB, LM",1400000.0,LB,2021.0,76.0,52.0,62.0,64.0,62.0,60.90909090909091,64.2,66.9,8.8
6035,S. Souprayen,31,France,AJ Auxerre,69,69,775000,4000,"CB, LB",1400000.0,LCB,2021.0,69.0,37.0,64.0,66.0,68.0,58.18181818181818,65.0,69.0,11.0
6036,Ríos Reina,30,Spain,SD Ponferradina,69,69,825000,5000,"LB, LM",1300000.0,LB,2022.0,75.0,54.0,64.0,68.0,62.0,64.72727272727273,66.8,67.8,10.2
6037,B. Salamon,29,Poland,SPAL,69,69,875000,500,CB,1900000.0,SUB,2021.0,40.0,45.0,58.0,56.0,70.0,54.09090909090909,59.4,66.2,11.4
6038,B. Rymaniak,30,Poland,Piast Gliwice,69,69,825000,4000,RB,1100000.0,SUB,2021.0,71.0,43.0,58.0,64.0,66.0,59.0,63.4,69.0,10.0
6039,M. van der Werff,31,Netherlands,FC Cincinnati,69,69,775000,4000,CB,1200000.0,LCB,2021.0,53.0,59.0,66.0,56.0,69.0,57.90909090909091,62.0,68.2,9.8
6040,L. Gassama,30,Senegal,Göztepe SK,69,69,825000,11000,RB,1700000.0,SUB,2021.0,76.0,39.0,59.0,64.0,64.0,58.18181818181818,63.4,68.4,9.4
6041,Dani Castellano,32,Spain,UD Las Palmas,69,69,650000,5000,LB,1000000.0,LB,2023.0,72.0,51.0,64.0,71.0,64.0,65.0,67.8,69.0,10.6
6042,K. Laribi,29,Tunisia,Hellas Verona,69,69,1000000,13000,"CM, CF, CAM",1800000.0,SUB,2021.0,81.0,68.0,70.0,75.0,47.0,71.63636363636364,70.6,60.7,11.4
6043,M. Frantz,33,Germany,Hannover 96,69,69,625000,12000,"CM, CDM, RM",1000000.0,LCM,2022.0,58.0,61.0,71.0,69.0,63.0,67.0,69.0,68.8,11.4
6044,Ortuño,29,Spain,Albacete BP,69,69,1100000,5000,ST,1700000.0,SUB,2021.0,64.0,71.0,55.0,62.0,31.0,66.18181818181819,61.0,47.4,13.0
6045,Rhayner,29,Brazil,Sanfrecce Hiroshima,69,69,1000000,6000,RM,1300000.0,RM,2020.0,93.0,61.0,60.0,73.0,40.0,68.18181818181819,65.4,55.3,11.0
